Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,250012,249192,AlPatch_1_1,15650.281636301,15650.367653564
0,250011,249192,AlPatch_1_1,15650.281636301,15650.367120983
0,250092,244167,AlPatch_0_1,14343.335962597,14343.423811304
0,250091,244167,AlPatch_0_1,14343.335962597,14343.429747965
0,250286,231870,AlPatch_1_0,7979.7706514977,7979.8562840247
0,250285,231870,AlPatch_1_0,7979.7706514977,7979.8561364921
0,250426,221602,AlPatch_0_0,18407.232146327,18407.326029468
0,250425,221602,AlPatch_0_0,18407.232146327,18407.319336112
0,250610,212107,AlPatch_0_0,11594.448757777,11594.540576436
0,250609,212107,AlPatch_0_0,11594.448757777,11594.548069618
0,250732,204537,AlPatch_2_1,3997.8000637128,3997.8923527175
0,250731,204537,AlPatch_2_1,3997.8000637128,3997.8951273358
0,250856,195961,AlPatch_2_1,5612.3864911064,5612.4844563138
0,250855,195961,AlPatch_2_1,5612.3864911064,5612.4780389907
0,251218,173427,AlPatch_2_1,18924.204485233,18924.297580019
0,251217,173427,AlPatch_2_1,18924.204485233,18924.291984337
0,251676,142927,AlPatch_0_1,6039.0006111007,6039.0952266159
0,251675,142927,AlPatch_0_1,6039.0006111007,6039.0889053321
0,251974,125456,AlPatch_1_0,17060.992697911,17061.080356297
0,251973,125456,AlPatch_1_0,17060.992697911,17061.090354144
0,251980,125033,AlPatch_1_1,2087.7238130335,2087.8239143253
0,251979,125033,AlPatch_1_1,2087.7238130335,2087.8121359742
0,252366,101466,AlPatch_2_1,1507.6834594332,1507.7831973666
0,252365,101466,AlPatch_2_1,1507.6834594332,1507.7720826424
0,252384,100216,AlPatch_0_1,11625.945818878,11626.04125723
0,252383,100216,AlPatch_0_1,11625.945818878,11626.038505694
0,252466,94536,AlPatch_2_0,252.70874144651,252.80287029392
0,252465,94536,AlPatch_2_0,252.70874144651,252.80623678208
0,252870,74371,AlPatch_2_0,251.9877903146,252.07381723565
0,252869,74371,AlPatch_2_0,251.9877903146,252.09145098874
0,252968,68981,AlPatch_0_0,7143.3690583912,7143.462966595
0,252967,68981,AlPatch_0_0,7143.3690583912,7143.4635733152
0,253442,42972,AlPatch_0_1,15886.828104481,15886.928366365
0,253441,42972,AlPatch_0_1,15886.828104481,15886.92889495
0,253632,34366,AlPatch_2_1,12270.893945102,12270.987664959
0,253631,34366,AlPatch_2_1,12270.893945102,12270.980644761
0,253732,27724,AlPatch_2_0,286.68711014781,286.77972585749
0,253731,27724,AlPatch_2_0,286.68711014781,286.77895650345
0,253856,20543,AlPatch_2_0,469.87226714342,469.96911639092
0,253855,20543,AlPatch_2_0,469.87226714342,469.96790244692
0,253998,9336,AlPatch_1_0,2526.6693783247,2526.7615571275
0,253997,9336,AlPatch_1_0,2526.6693783247,2526.7578351047
