Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,62664,59081,AlPatch_1_0,5810.0272325381,5810.1178087306
0,62663,59081,AlPatch_1_0,5810.0272325381,5810.1216147589
0,62764,57322,AlPatch_2_1,2356.6338956711,2356.7236125281
0,62763,57322,AlPatch_2_1,2356.6338956711,2356.7273757652
0,62780,57144,AlPatch_2_0,269175.82476571,269175.91731203
0,62779,57144,AlPatch_2_0,269175.82476571,269175.91712374
0,63324,46045,AlPatch_0_1,22030.441319467,22030.527720613
0,63323,46045,AlPatch_0_1,22030.441319467,22030.541631757
0,63640,39792,AlPatch_1_0,5042.0727103265,5042.1615813193
0,63639,39792,AlPatch_1_0,5042.0727103265,5042.1640402228
0,63658,39544,AlPatch_0_1,45657.973179793,45658.061312725
0,63657,39544,AlPatch_0_1,45657.973179793,45658.075917334
0,64176,28846,AlPatch_2_1,6074.6701766416,6074.7665756626
0,64175,28846,AlPatch_2_1,6074.6701766416,6074.7555813108
0,64224,28100,AlPatch_0_0,10039.05871362,10039.158342262
0,64223,28100,AlPatch_0_0,10039.05871362,10039.150271027
0,64286,26782,AlPatch_1_1,231959.37798421,231959.46490684
0,64285,26782,AlPatch_1_1,231959.37798421,231959.46455378
0,64340,25422,AlPatch_2_1,6625.8388749392,6625.9334317491
0,64339,25422,AlPatch_2_1,6625.8388749392,6625.9325176114
0,64458,22881,AlPatch_2_1,62378.873090782,62378.96120826
0,64457,22881,AlPatch_2_1,62378.873090782,62378.963709691
0,64718,17960,AlPatch_0_0,5722.4090933432,5722.4977347443
0,64717,17960,AlPatch_0_0,5722.4090933432,5722.4971272972
0,64854,15125,AlPatch_2_0,256.86989981724,256.95702754839
0,64853,15125,AlPatch_2_0,256.86989981724,256.96803485436
0,65016,12151,AlPatch_2_0,14302.318813351,14302.407782933
0,65015,12151,AlPatch_2_0,14302.318813351,14302.418900078
0,65208,7733,AlPatch_0_0,42505.92017446,42506.019255587
0,65207,7733,AlPatch_0_0,42505.92017446,42506.016191146
0,65332,5225,AlPatch_2_1,143639.9330961,143640.03095938
0,65331,5225,AlPatch_2_1,143639.9330961,143640.02619122
