Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,62832,55785,AlPatch_0_0,5833.4776952485,5833.5647446988
0,62831,55785,AlPatch_0_0,5833.4776952485,5833.5647280705
0,62958,53516,AlPatch_1_1,18880.864476826,18880.966217205
0,62957,53516,AlPatch_1_1,18880.864476826,18880.954519031
0,63172,48859,AlPatch_1_1,99829.241830106,99829.335574242
0,63171,48859,AlPatch_1_1,99829.241830106,99829.333086511
0,63284,46875,AlPatch_2_1,165607.56377659,165607.65118745
0,63283,46875,AlPatch_2_1,165607.56377659,165607.65179535
0,63286,46874,AlPatch_0_1,54574.959364026,54575.048632969
0,63285,46874,AlPatch_0_1,54574.959364026,54575.048100178
0,63368,44815,AlPatch_2_0,2021.7022662062,2021.792473037
0,63367,44815,AlPatch_2_0,2021.7022662062,2021.791196881
0,63576,41072,AlPatch_2_0,1178.2001305615,1178.2900696176
0,63575,41072,AlPatch_2_0,1178.2001305615,1178.2897868222
0,63818,36023,AlPatch_0_1,62794.795878413,62794.894752465
0,63817,36023,AlPatch_0_1,62794.795878413,62794.890156197
0,64264,27169,AlPatch_0_0,24229.412077255,24229.498105534
0,64263,27169,AlPatch_0_0,24229.412077255,24229.500059003
0,64344,25612,AlPatch_2_0,45013.356317635,45013.447912882
0,64343,25612,AlPatch_2_0,45013.356317635,45013.452626979
0,64582,20728,AlPatch_0_1,17075.040929008,17075.134791305
0,64581,20728,AlPatch_0_1,17075.040929008,17075.132511131
0,64586,20618,AlPatch_0_0,57531.307070108,57531.396187943
0,64585,20618,AlPatch_0_0,57531.307070108,57531.403834668
0,64954,13554,AlPatch_1_0,2941.4452717561,2941.5311130474
0,64953,13554,AlPatch_1_0,2941.4452717561,2941.5307363742
0,65106,10596,AlPatch_0_0,30092.735045005,30092.834878729
0,65105,10596,AlPatch_0_0,30092.735045005,30092.827151312
0,65326,6296,AlPatch_2_0,904.6229071781,904.72043931198
0,65325,6296,AlPatch_2_0,904.6229071781,904.7237015378
0,65384,5235,AlPatch_1_0,11211.992968772,11212.084502713
0,65383,5235,AlPatch_1_0,11211.992968772,11212.080319741
0,65452,3290,AlPatch_2_1,110026.50718304,110026.60886614
0,65451,3290,AlPatch_2_1,110026.50718304,110026.59321352
0,65470,2832,AlPatch_1_0,18138.660664709,18138.756379702
0,65469,2832,AlPatch_1_0,18138.660664709,18138.756375967
