Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,250190,238431,AlPatch_1_1,15382.611665062,15382.707234812
0,250189,238431,AlPatch_1_1,15382.611665062,15382.704863559
0,250570,217015,AlPatch_0_0,13822.729366272,13822.818897967
0,250569,217015,AlPatch_0_0,13822.729366272,13822.819194234
0,250912,196667,AlPatch_2_0,263.60608512227,263.7035611558
0,250911,196667,AlPatch_2_0,263.60608512227,263.69201606967
0,251222,176697,AlPatch_2_1,8454.0457141269,8454.137485495
0,251221,176697,AlPatch_2_1,8454.0457141269,8454.1419139614
0,251306,171877,AlPatch_2_0,683.03529082886,683.13284743696
0,251305,171877,AlPatch_2_0,683.03529082886,683.12925638474
0,251680,149126,AlPatch_0_1,7749.9264855007,7750.0144661309
0,251679,149126,AlPatch_0_1,7749.9264855007,7750.0146313064
0,251864,137899,AlPatch_1_0,17787.108293513,17787.198946973
0,251863,137899,AlPatch_1_0,17787.108293513,17787.19663884
0,252050,128625,AlPatch_1_1,13354.392179048,13354.486748467
0,252049,128625,AlPatch_1_1,13354.392179048,13354.486477958
0,252588,100172,AlPatch_0_1,15740.013881868,15740.111992295
0,252587,100172,AlPatch_0_1,15740.013881868,15740.103748734
0,252792,87880,AlPatch_0_0,13197.348310428,13197.435567479
0,252791,87880,AlPatch_0_0,13197.348310428,13197.445883268
0,252878,83178,AlPatch_2_0,5335.5683536718,5335.6560336082
0,252877,83178,AlPatch_2_0,5335.5683536718,5335.6540645275
0,252964,77897,AlPatch_0_0,7013.2679120054,7013.3564493897
0,252963,77897,AlPatch_0_0,7013.2679120054,7013.3563864121
0,253118,68794,AlPatch_0_1,8736.1169516806,8736.2024140034
0,253117,68794,AlPatch_0_1,8736.1169516806,8736.2021775771
0,253364,53955,AlPatch_2_0,1135.6904543783,1135.7947901569
0,253363,53955,AlPatch_2_0,1135.6904543783,1135.7921339177
0,253430,49867,AlPatch_2_0,4555.3034702882,4555.3892387381
0,253429,49867,AlPatch_2_0,4555.3034702882,4555.389223705
0,253608,38647,AlPatch_0_1,4337.3412187971,4337.430449344
0,253607,38647,AlPatch_0_1,4337.3412187971,4337.4326820015
0,254046,14307,AlPatch_2_0,7379.936083899,7380.0258963884
0,254045,14307,AlPatch_2_0,7379.936083899,7380.0252531815
0,254080,12437,AlPatch_0_0,13580.004679738,13580.096200058
0,254079,12437,AlPatch_0_0,13580.004679738,13580.094612826
