Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,400058,397067,AlPatch_1_0,7868.8008981152,7868.8873385237
0,400057,397067,AlPatch_1_0,7868.8008981152,7868.8875069259
0,400260,384591,AlPatch_0_1,10893.70177674,10893.789270529
0,400259,384591,AlPatch_0_1,10893.70177674,10893.789144811
0,400302,382441,AlPatch_0_1,11947.370130514,11947.46871171
0,400301,382441,AlPatch_0_1,11947.370130514,11947.462961214
0,400618,362527,AlPatch_2_0,7353.3573710943,7353.4568294623
0,400617,362527,AlPatch_2_0,7353.3573710943,7353.4490383503
0,400752,353963,AlPatch_0_1,11019.520301355,11019.613532854
0,400751,353963,AlPatch_0_1,11019.520301355,11019.615809965
0,401106,332534,AlPatch_2_1,9085.9517235179,9086.0381252567
0,401105,332534,AlPatch_2_1,9085.9517235179,9086.0411938477
0,401250,324740,AlPatch_1_0,12274.44426317,12274.532335762
0,401249,324740,AlPatch_1_0,12274.44426317,12274.531821905
0,401258,324474,AlPatch_0_0,13432.898386151,13433.000145976
0,401257,324474,AlPatch_0_0,13432.898386151,13432.996553145
0,401714,296288,AlPatch_1_0,15228.052985232,15228.140050873
0,401713,296288,AlPatch_1_0,15228.052985232,15228.143906642
0,401956,281377,AlPatch_2_0,1389.3521354939,1389.4440725579
0,401955,281377,AlPatch_2_0,1389.3521354939,1389.4428484992
0,402446,254556,AlPatch_2_0,270.42839108606,270.52534199669
0,402445,254556,AlPatch_2_0,270.42839108606,270.52889663717
0,402450,254390,AlPatch_0_0,3520.9654473734,3521.0659022597
0,402449,254390,AlPatch_0_0,3520.9654473734,3521.0523326227
0,402524,250428,AlPatch_2_1,5914.8815274329,5914.9814703796
0,402523,250428,AlPatch_2_1,5914.8815274329,5914.9857594525
0,402616,244970,AlPatch_1_0,10094.943513334,10095.030100708
0,402615,244970,AlPatch_1_0,10094.943513334,10095.030132397
0,402896,225644,AlPatch_1_1,10530.819531428,10530.913963464
0,402895,225644,AlPatch_1_1,10530.819531428,10530.912836574
0,403434,194061,AlPatch_1_0,15579.596165367,15579.686867985
0,403433,194061,AlPatch_1_0,15579.596165367,15579.693617344
0,403726,178542,AlPatch_1_0,10387.809266401,10387.90262147
0,403725,178542,AlPatch_1_0,10387.809266401,10387.90334223
0,404240,150319,AlPatch_1_0,9851.6178769369,9851.7111103222
0,404239,150319,AlPatch_1_0,9851.6178769369,9851.7165405639
0,404406,140568,AlPatch_1_0,3169.4765983002,3169.5732636423
0,404405,140568,AlPatch_1_0,3169.4765983002,3169.5726722048
0,404432,139633,AlPatch_1_0,14524.964547408,14525.067989615
0,404431,139633,AlPatch_1_0,14524.964547408,14525.061310353
0,404464,137804,AlPatch_1_0,3814.7865223105,3814.8799526074
0,404463,137804,AlPatch_1_0,3814.7865223105,3814.8796364958
0,405208,92375,AlPatch_2_1,18715.323135105,18715.411554858
0,405207,92375,AlPatch_2_1,18715.323135105,18715.410374647
0,405678,64534,AlPatch_2_0,5623.7113947704,5623.7997373975
0,405677,64534,AlPatch_2_0,5623.7113947704,5623.7984496959
0,405836,53747,AlPatch_2_0,7129.1611063982,7129.2625728879
0,405835,53747,AlPatch_2_0,7129.1611063982,7129.2490834102
0,406354,21304,AlPatch_1_1,3149.9099741986,3150.006049264
0,406353,21304,AlPatch_1_1,3149.9099741986,3150.0018841607
