Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,2000030,1998600,AlPatch_2_0,6282.6240061609,6282.7252481721
0,2000029,1998600,AlPatch_2_0,6282.6240061609,6282.7229156286
0,2000118,1992343,AlPatch_2_0,255.94611463879,256.0359217114
0,2000117,1992343,AlPatch_2_0,255.94611463879,256.03498055474
0,2000120,1992262,AlPatch_0_1,14582.482049101,14582.579955194
0,2000119,1992262,AlPatch_0_1,14582.482049101,14582.578365164
0,2000252,1982579,AlPatch_2_0,939.80737620163,939.90090147456
0,2000251,1982579,AlPatch_2_0,939.80737620163,939.90265894614
0,2000364,1975354,AlPatch_0_1,8923.7185390043,8923.8078451904
0,2000363,1975354,AlPatch_0_1,8923.7185390043,8923.8062826296
0,2000574,1964421,AlPatch_1_1,8967.2160044236,8967.3031803357
0,2000573,1964421,AlPatch_1_1,8967.2160044236,8967.3158062365
0,2000650,1960197,AlPatch_2_1,1181.9450844998,1182.0325469234
0,2000649,1960197,AlPatch_2_1,1181.9450844998,1182.0479289211
0,2000720,1956330,AlPatch_2_1,13038.136376801,13038.234852212
0,2000719,1956330,AlPatch_2_1,13038.136376801,13038.234074388
0,2000732,1955910,AlPatch_2_0,12400.865540195,12400.955982985
0,2000731,1955910,AlPatch_2_0,12400.865540195,12400.970662278
0,2000840,1948717,AlPatch_0_0,12500.939769203,12501.026759278
0,2000839,1948717,AlPatch_0_0,12500.939769203,12501.030558403
0,2001244,1926855,AlPatch_2_0,10238.368710142,10238.465424637
0,2001243,1926855,AlPatch_2_0,10238.368710142,10238.469238104
0,2001534,1910430,AlPatch_0_1,14152.768662287,14152.856106949
0,2001533,1910430,AlPatch_0_1,14152.768662287,14152.864269118
0,2001580,1908342,AlPatch_2_0,12971.352948646,12971.43987511
0,2001579,1908342,AlPatch_2_0,12971.352948646,12971.447980462
0,2001850,1892961,AlPatch_2_0,7986.6768447226,7986.7698825077
0,2001849,1892961,AlPatch_2_0,7986.6768447226,7986.7745444566
