Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,400166,390803,AlPatch_0_1,5659.7959161598,5659.8965235062
0,400165,390803,AlPatch_0_1,5659.7959161598,5659.8859670569
0,400342,381347,AlPatch_0_0,10705.573986212,10705.666968572
0,400341,381347,AlPatch_0_0,10705.573986212,10705.666512631
0,400470,374351,AlPatch_0_0,10821.409347303,10821.511604721
0,400469,374351,AlPatch_0_0,10821.409347303,10821.496263637
0,400546,370720,AlPatch_1_1,7525.851120171,7525.9544507406
0,400545,370720,AlPatch_1_1,7525.851120171,7525.9474474892
0,400814,351780,AlPatch_2_1,10574.181928057,10574.271217372
0,400813,351780,AlPatch_2_1,10574.181928057,10574.271401254
0,400848,349228,AlPatch_1_1,4511.8765260339,4511.9629638898
0,400847,349228,AlPatch_1_1,4511.8765260339,4511.9770893144
0,401112,333160,AlPatch_2_0,344.76096301741,344.85495452229
0,401111,333160,AlPatch_2_0,344.76096301741,344.860249829
0,401204,326796,AlPatch_1_0,5923.1817690774,5923.2712334038
0,401203,326796,AlPatch_1_0,5923.1817690774,5923.2747327112
0,401216,326494,AlPatch_0_0,4274.9940171484,4275.0935772516
0,401215,326494,AlPatch_0_0,4274.9940171484,4275.0928987105
0,401446,313951,AlPatch_2_0,6231.9829861656,6232.0856654096
0,401445,313951,AlPatch_2_0,6231.9829861656,6232.085338297
0,401512,310020,AlPatch_1_0,12567.175311433,12567.275895353
0,401511,310020,AlPatch_1_0,12567.175311433,12567.265868803
0,401546,308391,AlPatch_1_1,10863.29256294,10863.388760602
0,401545,308391,AlPatch_1_1,10863.29256294,10863.388565198
0,401636,303768,AlPatch_1_0,2258.913673118,2258.9999232514
0,401635,303768,AlPatch_1_0,2258.913673118,2259.0010645302
0,401666,301934,AlPatch_2_0,3328.0254664951,3328.1227906021
0,401665,301934,AlPatch_2_0,3328.0254664951,3328.1160378384
0,401724,298029,AlPatch_0_1,3005.3345199072,3005.4315672911
0,401723,298029,AlPatch_0_1,3005.3345199072,3005.4310217921
0,402194,267782,AlPatch_2_0,437.79308691766,437.89002665865
0,402193,267782,AlPatch_2_0,437.79308691766,437.8862813277
0,402234,266108,AlPatch_1_1,9484.5175611985,9484.6055687225
0,402233,266108,AlPatch_1_1,9484.5175611985,9484.6071758913
0,402238,265641,AlPatch_2_0,12081.973294776,12082.064856937
0,402237,265641,AlPatch_2_0,12081.973294776,12082.063725991
0,402300,259598,AlPatch_0_1,12502.226791392,12502.326129685
0,402299,259598,AlPatch_0_1,12502.226791392,12502.315349694
0,402466,248443,AlPatch_2_1,5049.3435455974,5049.4332839357
0,402465,248443,AlPatch_2_1,5049.3435455974,5049.4395246609
0,402864,229468,AlPatch_2_0,5056.306248004,5056.395809959
0,402863,229468,AlPatch_2_0,5056.306248004,5056.395392929
0,402890,227543,AlPatch_0_0,10122.612526815,10122.703919009
0,402889,227543,AlPatch_0_0,10122.612526815,10122.711387744
0,403304,201673,AlPatch_2_0,425.78429265611,425.88275349537
0,403303,201673,AlPatch_2_0,425.78429265611,425.87524750691
0,403542,187221,AlPatch_2_1,5074.9063687471,5075.005175146
0,403541,187221,AlPatch_2_1,5074.9063687471,5075.002007372
0,403566,185079,AlPatch_0_0,21719.151762472,21719.25332972
0,403565,185079,AlPatch_0_0,21719.151762472,21719.249029532
0,403614,181603,AlPatch_2_1,625.08804753795,625.18001491848
0,403613,181603,AlPatch_2_1,625.08804753795,625.1860159343
0,403744,173432,AlPatch_2_0,253.57761115859,253.67664545164
0,403743,173432,AlPatch_2_0,253.57761115859,253.66902362994
0,403754,173085,AlPatch_0_1,18847.485994931,18847.588454203
0,403753,173085,AlPatch_0_1,18847.485994931,18847.588440272
0,403776,171970,AlPatch_2_0,10534.607681078,10534.695039825
0,403775,171970,AlPatch_2_0,10534.607681078,10534.694442654
0,403898,166661,AlPatch_1_1,7152.0017838926,7152.0880059175
0,403897,166661,AlPatch_1_1,7152.0017838926,7152.094548775
0,403984,161042,AlPatch_0_0,8389.3085344341,8389.3950908486
0,403983,161042,AlPatch_0_0,8389.3085344341,8389.3958960951
0,403990,160752,AlPatch_1_0,19895.061639423,19895.152342148
0,403989,160752,AlPatch_1_0,19895.061639423,19895.160600778
0,404874,107661,AlPatch_2_1,16241.73963412,16241.826204805
0,404873,107661,AlPatch_2_1,16241.73963412,16241.84173968
0,405172,90857,AlPatch_0_1,11361.206491507,11361.292248658
0,405171,90857,AlPatch_0_1,11361.206491507,11361.292277733
0,405610,63227,AlPatch_2_1,17671.048772491,17671.136624644
0,405609,63227,AlPatch_2_1,17671.048772491,17671.145173613
0,406030,37591,AlPatch_1_0,14470.642366148,14470.746598419
0,406029,37591,AlPatch_1_0,14470.642366148,14470.744406957
0,406192,27852,AlPatch_2_0,9415.3437269815,9415.4433694232
0,406191,27852,AlPatch_2_0,9415.3437269815,9415.4327634746
0,406272,23994,AlPatch_0_1,6345.2774144079,6345.3695386621
0,406271,23994,AlPatch_0_1,6345.2774144079,6345.3685037055
0,406548,8997,AlPatch_0_0,16527.227757771,16527.322009807
0,406547,8997,AlPatch_0_0,16527.227757771,16527.315514271
0,406550,8787,AlPatch_2_0,9320.0605907547,9320.1500521965
0,406549,8787,AlPatch_2_0,9320.0605907547,9320.1491206395
0,406620,4757,AlPatch_0_0,12654.054555053,12654.146850836
0,406619,4757,AlPatch_0_0,12654.054555053,12654.150251164
