Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,400460,373231,AlPatch_0_1,3704.0034140441,3704.097776827
0,400459,373231,AlPatch_0_1,3704.0034140441,3704.0982187479
0,400606,364506,AlPatch_0_1,2237.3555879559,2237.443394424
0,400605,364506,AlPatch_0_1,2237.3555879559,2237.4427250118
0,400696,358823,AlPatch_1_0,8044.4309499179,8044.5254422004
0,400695,358823,AlPatch_1_0,8044.4309499179,8044.5261990808
0,400754,354247,AlPatch_1_1,10283.205533027,10283.294534513
0,400753,354247,AlPatch_1_1,10283.205533027,10283.293591913
0,401052,333152,AlPatch_0_0,3973.2920624246,3973.3875427168
0,401051,333152,AlPatch_0_0,3973.2920624246,3973.3778184588
0,401288,316286,AlPatch_2_1,657.95370380244,658.04179654281
0,401287,316286,AlPatch_2_1,657.95370380244,658.04048477916
0,401296,315371,AlPatch_0_0,5668.6891098205,5668.7845573393
0,401295,315371,AlPatch_0_0,5668.6891098205,5668.778073394
0,401406,308512,AlPatch_2_1,14501.592334965,14501.689991405
0,401405,308512,AlPatch_2_1,14501.592334965,14501.683811849
0,401622,297411,AlPatch_0_1,13919.914448305,13919.999866242
0,401621,297411,AlPatch_0_1,13919.914448305,13920.016347828
0,402168,264404,AlPatch_2_0,13622.478652345,13622.56827777
0,402167,264404,AlPatch_2_0,13622.478652345,13622.568387106
0,402584,238119,AlPatch_1_0,15357.810750384,15357.905997575
0,402583,238119,AlPatch_1_0,15357.810750384,15357.902812669
0,402924,213980,AlPatch_2_1,1782.6559814852,1782.744356074
0,402923,213980,AlPatch_2_1,1782.6559814852,1782.7487758977
0,403142,201617,AlPatch_2_0,8590.2386389702,8590.3327242247
0,403141,201617,AlPatch_2_0,8590.2386389702,8590.3368136427
0,403346,188947,AlPatch_0_0,4752.4081367396,4752.5016508028
0,403345,188947,AlPatch_0_0,4752.4081367396,4752.5011830314
0,403380,187409,AlPatch_0_1,14062.323897734,14062.416760377
0,403379,187409,AlPatch_0_1,14062.323897734,14062.413314934
0,403744,167637,AlPatch_1_0,13237.030854331,13237.12425926
0,403743,167637,AlPatch_1_0,13237.030854331,13237.119932438
0,403750,167209,AlPatch_1_1,6545.1952333769,6545.2893144211
0,403749,167209,AlPatch_1_1,6545.1952333769,6545.2954700735
0,404188,142166,AlPatch_0_0,9142.9987229834,9143.0872702384
0,404187,142166,AlPatch_0_0,9142.9987229834,9143.0879915794
0,404274,136339,AlPatch_1_0,12816.015282404,12816.113848422
0,404273,136339,AlPatch_1_0,12816.015282404,12816.115544138
0,404300,134979,AlPatch_2_1,11037.01089171,11037.104835263
0,404299,134979,AlPatch_2_1,11037.01089171,11037.108780408
0,404330,132693,AlPatch_0_1,3180.5112667653,3180.5966586073
0,404329,132693,AlPatch_0_1,3180.5112667653,3180.5971321486
0,404630,114598,AlPatch_2_1,11756.497727448,11756.600941808
0,404629,114598,AlPatch_2_1,11756.497727448,11756.586084947
0,404640,113807,AlPatch_2_0,8208.3937896261,8208.4882971926
0,404639,113807,AlPatch_2_0,8208.3937896261,8208.4961600316
0,404758,106620,AlPatch_1_1,18009.173735963,18009.266955552
0,404757,106620,AlPatch_1_1,18009.173735963,18009.269241642
0,405042,86297,AlPatch_0_1,3792.0859837877,3792.1762394525
0,405041,86297,AlPatch_0_1,3792.0859837877,3792.1744214086
0,405312,72494,AlPatch_0_0,4181.4329053372,4181.5188237262
0,405311,72494,AlPatch_0_0,4181.4329053372,4181.5196710036
0,405334,71645,AlPatch_0_1,4869.0231577548,4869.1138991962
0,405333,71645,AlPatch_0_1,4869.0231577548,4869.1086798837
0,405416,66333,AlPatch_2_0,440.51079054885,440.60690259051
0,405415,66333,AlPatch_2_0,440.51079054885,440.60266072647
0,405540,58925,AlPatch_2_0,806.06421711415,806.15684141758
0,405539,58925,AlPatch_2_0,806.06421711415,806.16391306377
0,405648,53846,AlPatch_2_1,1517.2767418889,1517.3672108456
0,405647,53846,AlPatch_2_1,1517.2767418889,1517.366293066
0,405766,46283,AlPatch_2_1,12493.5384318,12493.631005501
0,405765,46283,AlPatch_2_1,12493.5384318,12493.635357397
0,406132,26079,AlPatch_1_0,17341.682203855,17341.78225815
0,406131,26079,AlPatch_1_0,17341.682203854,17341.782706017
0,406514,2415,AlPatch_1_1,3740.3905800226,3740.4769071025
0,406513,2415,AlPatch_1_1,3740.3905800226,3740.4772586753
