Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,250092,248091,AlPatch_0_1,91697.470203367,91697.563838685
0,250091,248091,AlPatch_0_1,91697.470203367,91697.561093841
0,250312,242747,AlPatch_1_0,18381.911125528,18382.007827385
0,250311,242747,AlPatch_1_0,18381.911125528,18382.000671713
0,250850,232326,AlPatch_2_1,20022.032142095,20022.123583401
0,250849,232326,AlPatch_2_1,20022.032142095,20022.130441482
0,250880,231222,AlPatch_2_1,29003.937465595,29004.027120048
0,250879,231222,AlPatch_2_1,29003.937465595,29004.026895896
0,250966,230034,AlPatch_2_1,17726.11556949,17726.200872177
0,250965,230034,AlPatch_2_1,17726.11556949,17726.213457215
0,251226,225237,AlPatch_0_0,2768.2201834608,2768.3128928776
0,251225,225237,AlPatch_0_0,2768.2201834608,2768.3182402737
0,251242,224773,AlPatch_0_1,34395.960471392,34396.046423895
0,251241,224773,AlPatch_0_1,34395.960471392,34396.046993332
0,251364,222097,AlPatch_0_1,103049.76959736,103049.87270252
0,251363,222097,AlPatch_0_1,103049.76959736,103049.86655575
0,251366,222090,AlPatch_1_1,67119.167748708,67119.256863475
0,251365,222090,AlPatch_1_1,67119.167748708,67119.272073492
0,251462,219888,AlPatch_1_0,4338.8197154577,4338.9151857265
0,251461,219888,AlPatch_1_0,4338.8197154577,4338.9138082862
0,251864,212071,AlPatch_2_0,47960.424078099,47960.512378239
0,251863,212071,AlPatch_2_0,47960.424078099,47960.512804776
0,252166,206401,AlPatch_0_1,28615.888881408,28615.989096977
0,252165,206401,AlPatch_0_1,28615.888881408,28615.976467679
0,252190,205926,AlPatch_2_1,54468.335618245,54468.421188052
0,252189,205926,AlPatch_2_1,54468.335618245,54468.426617006
0,252774,193613,AlPatch_0_0,166397.10448969,166397.20595277
0,252773,193613,AlPatch_0_0,166397.10448969,166397.19651596
0,253034,187155,AlPatch_1_0,10416.903036902,10416.991823009
0,253033,187155,AlPatch_1_0,10416.903036902,10417.006790645
0,253258,182746,AlPatch_1_0,129708.19848419,129708.28418604
0,253257,182746,AlPatch_1_0,129708.19848419,129708.28411096
0,253388,180127,AlPatch_0_0,78867.223785611,78867.316299335
0,253387,180127,AlPatch_0_0,78867.223785611,78867.309973274
0,253436,179247,AlPatch_2_1,80976.464909894,80976.56003437
0,253435,179247,AlPatch_2_1,80976.464909894,80976.562455942
0,253472,177962,AlPatch_1_0,20442.256206431,20442.349959927
0,253471,177962,AlPatch_1_0,20442.256206431,20442.354323596
0,253534,176590,AlPatch_2_1,49220.199054923,49220.297334524
0,253533,176590,AlPatch_2_1,49220.199054923,49220.288054014
