Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,2000068,1995226,AlPatch_1_1,8656.2560642437,8656.3470725459
0,2000067,1995226,AlPatch_1_1,8656.2560642437,8656.3491501252
0,2000186,1987438,AlPatch_2_1,6276.0102846689,6276.0982725873
0,2000185,1987438,AlPatch_2_1,6276.0102846689,6276.1001504125
0,2000270,1982582,AlPatch_0_1,3940.0936318304,3940.1911096934
0,2000269,1982582,AlPatch_0_1,3940.0936318304,3940.1804327213
0,2000448,1969557,AlPatch_0_1,12014.509902724,12014.596357001
0,2000447,1969557,AlPatch_0_1,12014.509902724,12014.613040114
0,2000484,1967329,AlPatch_1_0,18109.99344365,18110.080666997
0,2000483,1967329,AlPatch_1_0,18109.99344365,18110.089516794
0,2000526,1965008,AlPatch_1_1,3929.4310989699,3929.5234289959
0,2000525,1965008,AlPatch_1_1,3929.4310989699,3929.5308235485
0,2000548,1963517,AlPatch_2_1,1219.650802694,1219.7405186865
0,2000547,1963517,AlPatch_2_1,1219.650802694,1219.7409094162
0,2000722,1952671,AlPatch_2_1,11784.072800159,11784.159163524
0,2000721,1952671,AlPatch_2_1,11784.072800159,11784.158845534
0,2001128,1929340,AlPatch_0_1,3316.2778270147,3316.3640431729
0,2001127,1929340,AlPatch_0_1,3316.2778270147,3316.3818221854
0,2001308,1919578,AlPatch_1_0,726.27845633113,726.38071060947
0,2001307,1919578,AlPatch_1_0,726.27845633113,726.37742567127
0,2001346,1917588,AlPatch_1_0,8712.3365996953,8712.4352080617
0,2001345,1917588,AlPatch_1_0,8712.3365996953,8712.4371076252
0,2001670,1899685,AlPatch_0_1,6764.0306004347,6764.1194508195
0,2001669,1899685,AlPatch_0_1,6764.0306004347,6764.1174370051
0,2001686,1898926,AlPatch_2_0,1389.8687475721,1389.9594984054
0,2001685,1898926,AlPatch_2_0,1389.8687475721,1389.9707381849
0,2001764,1895353,AlPatch_1_0,3068.4626623775,3068.5487366431
0,2001763,1895353,AlPatch_1_0,3068.4626623775,3068.5660631661
0,2001864,1889698,AlPatch_0_0,17037.253281414,17037.340023687
0,2001863,1889698,AlPatch_0_0,17037.253281414,17037.353179058
0,2001890,1888662,AlPatch_0_1,13265.839934175,13265.941829492
0,2001889,1888662,AlPatch_0_1,13265.839934175,13265.925847744
0,2002076,1875818,AlPatch_0_0,12133.805792272,12133.892924697
0,2002075,1875818,AlPatch_0_0,12133.805792272,12133.893991653
0,2002162,1870852,AlPatch_1_1,6330.8967749709,6330.9884909932
0,2002161,1870852,AlPatch_1_1,6330.8967749709,6330.9889236386
0,2002300,1861343,AlPatch_2_0,1317.7977628994,1317.8837386776
0,2002299,1861343,AlPatch_2_0,1317.7977628994,1317.8972620916
0,2002308,1861006,AlPatch_2_1,10361.447110825,10361.549992855
0,2002307,1861006,AlPatch_2_1,10361.447110825,10361.533096542
0,2002390,1856342,AlPatch_2_1,8989.13271378,8989.231053974
0,2002389,1856342,AlPatch_2_1,8989.13271378,8989.2233133302
0,2002574,1845078,AlPatch_0_1,10671.308454817,10671.397992275
0,2002573,1845078,AlPatch_0_1,10671.308454817,10671.408210831
0,2003080,1814748,AlPatch_0_0,6241.2194636997,6241.3066334401
0,2003079,1814748,AlPatch_0_0,6241.2194636997,6241.3047698285
0,2003094,1814147,AlPatch_2_1,2182.7060826588,2182.8067713275
0,2003093,1814147,AlPatch_2_1,2182.7060826588,2182.7953654045
0,2003508,1790188,AlPatch_2_1,20273.396856472,20273.489042346
0,2003507,1790188,AlPatch_2_1,20273.396856472,20273.494751188
0,2004080,1754060,AlPatch_0_1,2464.1638770675,2464.2513175304
0,2004079,1754060,AlPatch_0_1,2464.1638770675,2464.251706626
0,2004152,1748322,AlPatch_0_1,15447.397396358,15447.483108836
0,2004151,1748322,AlPatch_0_1,15447.397396358,15447.485168684
0,2004246,1741376,AlPatch_2_0,2225.9860717281,2226.0795330198
0,2004245,1741376,AlPatch_2_0,2225.9860717281,2226.0797492816
0,2005434,1669020,AlPatch_0_0,16156.379126327,16156.479352877
0,2005433,1669020,AlPatch_0_0,16156.379126327,16156.467896204
0,2005462,1667479,AlPatch_2_0,9858.0527594136,9858.1384021546
0,2005461,1667479,AlPatch_2_0,9858.0527594136,9858.1380023216
0,2005744,1651439,AlPatch_1_1,10665.49071529,10665.576123398
0,2005743,1651439,AlPatch_1_1,10665.49071529,10665.576449454
0,2005970,1637206,AlPatch_1_0,1195.2743103294,1195.3668397985
0,2005969,1637206,AlPatch_1_0,1195.2743103294,1195.3750669232
0,2006054,1631626,AlPatch_2_1,1946.5260890382,1946.6114699711
0,2006053,1631626,AlPatch_2_1,1946.5260890382,1946.6307866852
0,2006086,1629586,AlPatch_2_0,1212.7898238849,1212.8773984942
0,2006085,1629586,AlPatch_2_0,1212.7898238849,1212.8769408742
0,2006550,1603561,AlPatch_1_0,15587.610293892,15587.711254678
0,2006549,1603561,AlPatch_1_0,15587.610293892,15587.696103509
0,2006672,1595802,AlPatch_1_1,14938.208068227,14938.296086019
0,2006671,1595802,AlPatch_1_1,14938.208068227,14938.298773157
0,2006862,1584840,AlPatch_0_0,12354.881418633,12354.97611701
0,2006861,1584840,AlPatch_0_0,12354.881418633,12354.982027163
0,2006930,1580360,AlPatch_1_1,10500.521684169,10500.610145118
0,2006929,1580360,AlPatch_1_1,10500.521684169,10500.622864931
0,2007054,1572635,AlPatch_1_0,3261.5020508829,3261.5928887797
